Nue,Np,PtdBm,R,pCol
2,0,-10,2500,0.77936
3,0,-10,2500,0.566926
4,0,-10,2500,0.469789
5,0,-10,2500,0.413083
6,0,-10,2500,0.375589
7,0,-10,2500,0.349417
8,0,-10,2500,0.329037
9,0,-10,2500,0.312054
10,0,-10,2500,0.298693
11,0,-10,2500,0.286557
12,0,-10,2500,0.277423
13,0,-10,2500,0.269447
14,0,-10,2500,0.262296
15,0,-10,2500,0.25716
16,0,-10,2500,0.250428
17,0,-10,2500,0.245459
18,0,-10,2500,0.240272
19,0,-10,2500,0.236303
2,1,-10,2500,0.389591
3,1,-10,2500,0.377769
4,1,-10,2500,0.351108
5,1,-10,2500,0.330538
6,1,-10,2500,0.313426
7,1,-10,2500,0.29773
8,1,-10,2500,0.287393
9,1,-10,2500,0.277385
10,1,-10,2500,0.268781
11,1,-10,2500,0.260706
12,1,-10,2500,0.254367
13,1,-10,2500,0.248858
14,1,-10,2500,0.243758
15,1,-10,2500,0.238369
16,1,-10,2500,0.234666
17,1,-10,2500,0.230593
18,1,-10,2500,0.227019
19,1,-10,2500,0.223992
3,2,-10,2500,0.188754
4,2,-10,2500,0.235445
5,2,-10,2500,0.247471
6,2,-10,2500,0.250335
7,2,-10,2500,0.249396
8,2,-10,2500,0.2455
9,2,-10,2500,0.242659
10,2,-10,2500,0.238873
11,2,-10,2500,0.23487
12,2,-10,2500,0.23131
13,2,-10,2500,0.228181
14,2,-10,2500,0.224783
15,2,-10,2500,0.222179
16,2,-10,2500,0.218545
17,2,-10,2500,0.216856
18,2,-10,2500,0.213801
19,2,-10,2500,0.210655
4,3,-10,2500,0.116994
5,3,-10,2500,0.165249
6,3,-10,2500,0.187609
7,3,-10,2500,0.199316
8,3,-10,2500,0.20541
9,3,-10,2500,0.208078
10,3,-10,2500,0.208749
11,3,-10,2500,0.208783
12,3,-10,2500,0.208468
13,3,-10,2500,0.208206
14,3,-10,2500,0.207009
15,3,-10,2500,0.204626
16,3,-10,2500,0.203469
17,3,-10,2500,0.201641
18,3,-10,2500,0.200209
19,3,-10,2500,0.199392
5,4,-10,2500,0.082366
6,4,-10,2500,0.125095
7,4,-10,2500,0.149491
8,4,-10,2500,0.164143
9,4,-10,2500,0.172887
10,4,-10,2500,0.179926
11,4,-10,2500,0.183089
12,4,-10,2500,0.18518
13,4,-10,2500,0.187127
14,4,-10,2500,0.187057
15,4,-10,2500,0.187955
16,4,-10,2500,0.187879
17,4,-10,2500,0.187431
18,4,-10,2500,0.186744
19,4,-10,2500,0.186972
6,5,-10,2500,0.062885
7,5,-10,2500,0.099629
8,5,-10,2500,0.123223
