Nue,Np,PtdBm,R,pCol
40,0,-10,1000,0.18857
45,0,-10,1000,0.18384
50,0,-10,1000,0.17858
55,0,-10,1000,0.17475
60,0,-10,1000,0.17066
65,0,-10,1000,0.16694
70,0,-10,1000,0.1633
75,0,-10,1000,0.16038
80,0,-10,1000,0.1598
85,0,-10,1000,0.15901
90,0,-10,1000,0.15492
95,0,-10,1000,0.15411
40,1,-10,1000,0.18643
45,1,-10,1000,0.18078
50,1,-10,1000,0.17517
55,1,-10,1000,0.17121
60,1,-10,1000,0.16606
65,1,-10,1000,0.16471
70,1,-10,1000,0.16253
75,1,-10,1000,0.15968
80,1,-10,1000,0.15855
85,1,-10,1000,0.15626
90,1,-10,1000,0.15274
95,1,-10,1000,0.14974
40,2,-10,1000,0.18042
45,2,-10,1000,0.17497
50,2,-10,1000,0.17166
55,2,-10,1000,0.16698
60,2,-10,1000,0.16672
65,2,-10,1000,0.16093
70,2,-10,1000,0.16023
75,2,-10,1000,0.15927
80,2,-10,1000,0.15634
85,2,-10,1000,0.15529
90,2,-10,1000,0.15185
95,2,-10,1000,0.14861
40,3,-10,1000,0.17461
45,3,-10,1000,0.17035
50,3,-10,1000,0.16952
55,3,-10,1000,0.16622
60,3,-10,1000,0.16359
65,3,-10,1000,0.15941
70,3,-10,1000,0.15859
75,3,-10,1000,0.1552
80,3,-10,1000,0.15375
85,3,-10,1000,0.15203
90,3,-10,1000,0.15176
95,3,-10,1000,0.14907
40,4,-10,1000,0.17059
45,4,-10,1000,0.16771
50,4,-10,1000,0.16463
55,4,-10,1000,0.16237
60,4,-10,1000,0.16073
65,4,-10,1000,0.15846
70,4,-10,1000,0.15426
75,4,-10,1000,0.15365
80,4,-10,1000,0.14981
85,4,-10,1000,0.14884
90,4,-10,1000,0.1497
95,4,-10,1000,0.14593
40,5,-10,1000,0.1656
45,5,-10,1000,0.16275
50,5,-10,1000,0.16308
55,5,-10,1000,0.15908
60,5,-10,1000,0.15623
65,5,-10,1000,0.15345
70,5,-10,1000,0.15235
75,5,-10,1000,0.1529
80,5,-10,1000,0.15046
85,5,-10,1000,0.14908
90,5,-10,1000,0.14699
95,5,-10,1000,0.14405
40,6,-10,1000,0.16023
45,6,-10,1000,0.15753
50,6,-10,1000,0.15941
55,6,-10,1000,0.15652
60,6,-10,1000,0.15477
65,6,-10,1000,0.15299
70,6,-10,1000,0.15174
75,6,-10,1000,0.14804
80,6,-10,1000,0.14799
85,6,-10,1000,0.14665
90,6,-10,1000,0.14346
95,6,-10,1000,0.14338
40,7,-10,1000,0.15593
45,7,-10,1000,0.15597
50,7,-10,1000,0.1535
55,7,-10,1000,0.1526
60,7,-10,1000,0.15048
65,7,-10,1000,0.14889
70,7,-10,1000,0.14815
75,7,-10,1000,0.14636
80,7,-10,1000,0.14503
85,7,-10,1000,0.14341
90,7,-10,1000,0.14345
95,7,-10,1000,0.14218
40,8,-10,1000,0.14951
45,8,-10,1000,0.15146
50,8,-10,1000,0.15097
55,8,-10,1000,0.14816
60,8,-10,1000,0.14968
65,8,-10,1000,0.14614
70,8,-10,1000,0.14845
75,8,-10,1000,0.1452
80,8,-10,1000,0.14334
85,8,-10,1000,0.14243
90,8,-10,1000,0.14282
95,8,-10,1000,0.14037
40,9,-10,1000,0.1449
45,9,-10,1000,0.14663
50,9,-10,1000,0.14811
55,9,-10,1000,0.14565
60,9,-10,1000,0.14425
65,9,-10,1000,0.14397
70,9,-10,1000,0.14381
75,9,-10,1000,0.14422
80,9,-10,1000,0.14117
85,9,-10,1000,0.14061
90,9,-10,1000,0.13792
95,9,-10,1000,0.13857
40,10,-10,1000,0.14342
45,10,-10,1000,0.14452
50,10,-10,1000,0.14422
55,10,-10,1000,0.14271
60,10,-10,1000,0.1433
65,10,-10,1000,0.13938
70,10,-10,1000,0.14252
75,10,-10,1000,0.14189
80,10,-10,1000,0.13931
85,10,-10,1000,0.13806
90,10,-10,1000,0.13798
95,10,-10,1000,0.1371
40,11,-10,1000,0.13731
45,11,-10,1000,0.1375
50,11,-10,1000,0.13957
55,11,-10,1000,0.13958
60,11,-10,1000,0.14007
65,11,-10,1000,0.13854
70,11,-10,1000,0.13928
75,11,-10,1000,0.13893
80,11,-10,1000,0.13872
85,11,-10,1000,0.13684
90,11,-10,1000,0.13639
95,11,-10,1000,0.13249
40,12,-10,1000,0.13321
45,12,-10,1000,0.13405
50,12,-10,1000,0.13379
55,12,-10,1000,0.13565
60,12,-10,1000,0.13652
65,12,-10,1000,0.13866
70,12,-10,1000,0.13668
75,12,-10,1000,0.13801
80,12,-10,1000,0.13816
85,12,-10,1000,0.13456
90,12,-10,1000,0.13535
95,12,-10,1000,0.13368
40,13,-10,1000,0.12785
45,13,-10,1000,0.12985
50,13,-10,1000,0.13324
55,13,-10,1000,0.13372
60,13,-10,1000,0.13363
